Emotions,Path
calm,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-02-01-02-02-03.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-01-01-03.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-01-02-03.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-02-01-03.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-02-02-03.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-01-02-03.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-02-01-03.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-04-01-02-01-03.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-04-01-02-02-03.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-05-01-01-01-03.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-05-01-02-01-03.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-05-01-02-02-03.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-05-02-01-01-03.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-06-01-01-01-03.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-06-01-02-02-03.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-06-02-01-01-03.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-06-02-02-02-03.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-02-01-03.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-05-01-01-02-03.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-07-01-01-01-03.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-07-01-01-02-04.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-07-01-02-01-04.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-07-01-02-02-04.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-07-02-01-01-04.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-07-02-01-02-04.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-07-02-02-01-04.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-07-02-02-02-04.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-08-01-01-01-04.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-08-01-01-02-04.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-08-01-02-01-04.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-08-01-02-02-04.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-08-02-01-01-04.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-08-02-01-02-04.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-08-02-02-01-04.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-08-02-02-02-04.wav
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-01-01-04.wav
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-01-02-04.wav
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-02-01-04.wav
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-02-02-04.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-02-01-01-01-04.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-02-01-01-02-04.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-02-01-02-01-04.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-02-01-02-02-04.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-02-02-01-01-04.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-02-02-01-02-04.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-02-02-02-01-04.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-02-02-02-02-04.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-03-01-01-01-04.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-03-01-01-02-04.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-03-01-02-02-04.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-03-02-01-01-04.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-03-02-01-02-04.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-03-02-02-01-04.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-03-02-02-02-04.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-04-01-01-01-04.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-04-01-01-02-04.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-04-01-02-01-04.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-04-01-02-02-04.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-04-02-01-01-04.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-04-02-01-02-04.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-04-02-02-01-04.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-04-02-02-02-04.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-05-01-01-01-04.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-05-01-02-01-04.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-05-01-02-02-04.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-05-02-01-01-04.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-05-02-01-02-04.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-05-02-02-01-04.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-05-02-02-02-04.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-06-01-01-01-04.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-06-01-01-02-04.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-06-01-02-01-04.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-06-01-02-02-04.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-06-02-01-01-04.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-06-02-01-02-04.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-06-02-02-01-04.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-06-02-02-02-04.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-03-01-02-01-04.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-05-01-01-02-04.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-07-01-01-01-04.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-07-01-01-02-05.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-07-01-02-01-05.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-07-01-02-02-05.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-07-02-01-01-05.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-07-02-01-02-05.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-07-02-02-01-05.wav
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-07-02-02-02-05.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-08-01-01-01-05.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-08-01-01-02-05.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-08-01-02-01-05.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-08-01-02-02-05.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-08-02-01-01-05.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-08-02-01-02-05.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-08-02-02-01-05.wav
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-08-02-02-02-05.wav
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-01-01-05.wav
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-01-02-05.wav
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-02-01-05.wav
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-02-02-05.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-02-01-01-01-05.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-02-01-01-02-05.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-02-01-02-01-05.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-02-01-02-02-05.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-02-02-01-01-05.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-02-02-01-02-05.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-02-02-02-01-05.wav
calm,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-02-02-02-02-05.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-03-01-01-01-05.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-03-01-01-02-05.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-03-01-02-02-05.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-03-02-01-01-05.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-03-02-01-02-05.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-03-02-02-01-05.wav
happy,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-03-02-02-02-05.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-04-01-01-01-05.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-04-01-01-02-05.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-04-01-02-01-05.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-04-01-02-02-05.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-04-02-01-01-05.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-04-02-01-02-05.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-04-02-02-01-05.wav
sad,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-04-02-02-02-05.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-05-01-01-01-05.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-05-01-02-01-05.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-05-01-02-02-05.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-05-02-01-01-05.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-05-02-01-02-05.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-05-02-02-01-05.wav
angry,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-05-02-02-02-05.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-06-01-01-01-05.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-06-01-01-02-05.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-06-01-02-01-05.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-06-01-02-02-05.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-06-02-01-01-05.wav
fear,Dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-06-02-01-02-05.wav
